country	2010	2011	2012	2013	2014
Albánie	0	0	1	2	1
Alžírsko	0	0	1	0	1
Arménie	4	3	0	5	5
Bosna a Hercegovina	1	0	1	0	2
Bulharsko	1	0	0	2	1
Čína	9	5	4	5	2
Filipíny	0	0	0	0	1
Gruzie	3	2	3	2	3
Indie	3	2	0	1	1
Irák	1	0	0	0	1
Kamerun	1	0	0	0	1
Kazachstán	1	1	4	1	2
Kosovo	7	1	0	3	4
Kyrgyzstán	13	6	2	6	4
Lotyšsko	0	0	0	1	1
Makedonie	1	5	2	0	2
Moldavská republika	0	0	4	7	6
Mongolsko	99	53	41	15	15
neuvedený stát	0	0	0	0	1
Nigérie	3	1	1	1	3
Polsko	0	0	0	0	1
Rumunsko	1	1	0	0	1
Ruská federace	0	0	4	5	7
Slovensko	0	0	2	0	2
Srbsko	3	1	3	0	4
Tádžikistán	3	5	1	0	1
Turecko	7	3	0	1	1
Ukrajina	340	133	74	50	53
Uzbekistán	9	13	36	17	14
Vietnam	126	67	68	49	33
Zambie	0	0	0	0	1
Egypt	0	1	1	1	0
Honduras	0	0	0	1	0
Kolumbie	0	0	0	1	0
Namibie	0	0	0	1	0
Palestinské území (ok.)	0	0	0	1	0
Spojené státy	1	0	3	4	0
Thajsko	0	0	0	2	0
Tunisko	0	0	0	1	0
Argentina	0	0	1	0	0
Bangladéš	0	0	1	0	0
Bolívie	1	0	1	0	0
Keňa	0	0	1	0	0
Maroko	0	0	1	0	0
Pákistán	0	1	1	0	0
Bělorusko	12	2	0	0	0
Ghana	0	1	0	0	0
Chorvatsko	0	1	0	0	0
Moldavsko	43	11	0	0	0
Rusko	16	6	0	0	0
Srí Lanka	0	1	0	0	0
Burkina Faso	1	0	0	0	0
Ekvádor	1	0	0	0	0
Etiopie	1	0	0	0	0
Indonésie	1	0	0	0	0
Libanon	1	0	0	0	0
Litva	1	0	0	0	0
Republika Kosovo	2	0	0	0	0
Srbsko a Černá Hora	1	0	0	0	0
Súdán	1	0	0	0	0
Sýrie	1	0	0	0	0
