country	2008	2009	2010	2011	2012	2013	2014	population
Belgie	3965	4060	4415	5890	7840	7170	5575	11060205
Bulharsko	275	285	295	665	835	1100	1155	7329730
Česko	585	850	920	530	430	330	320	10496562
Dánsko	825	800	520	455	1375	2070	1400	5581149
Německo	14295	11900	13895	14075	13855	19180	21895	81637129
Estonsko	95	115	80	415	480	575	445	1324832
Irsko	690	830	805	755	745	635	345	4579921
Řecko	68565	62850	51785	10585	16650	25465	27055	11056916
Španělsko	29785	28865	21955	23350	18865	17285	15150	46642420
Francie	19470	18400	17045	20425	22760	20140	19525	65262172
Chorvatsko	:	:	:	:	:	2530	2245	4275527
Itálie	7140	5315	4890	6180	7365	5860	5310	59683387
Kypr	3480	4520	4065	4605	4370	4025	2990	848956
Lotyšsko	255	205	190	1055	2065	2070	1550	2053043
Litva	855	925	1235	1655	1825	1665	1930	3022716
Lucembursko	:	105	75	345	1010	605	605	525096
Maďarsko	1745	2245	2445	4610	5440	4395	4345	9943627
Malta	305	530	270	160	570	460	175	418662
Nizozemí	9350	8980	10355	9475	9635	8010	7995	16714000
Rakousko	5855	6410	6335	5225	4695	6790	:	8418735
Polsko	8595	6945	6770	7050	6845	8465	9280	38045954
Portugalsko	1345	1220	1335	1245	1330	1135	820	10520638
Rumunsko	3820	4670	3015	2875	2890	2235	2085	20111425
Slovinsko	1995	2220	1940	1745	1090	885	840	2054513
Slovensko	1295	900	600	445	320	375	695	5402793
Finsko	910	1720	1930	3235	3070	3155	3195	5401183
Švédsko	9015	11980	14645	13470	16140	14315	6630	9487973
Anglie	47455	64945	53615	53600	54180	54960	46610	63448318
Island	20	15	:	:	:	:	:	320637
Lichtenštejnsko	15	30	10	10	5	10	15	36497
Norsko	1665	:	:	4415	3735	5050	:	4984724
